meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1143,7782,18,1,,,19.248,,264.0,300.0,True,,"[2064, 2049, 2051, 2049, 2051, 2051, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2051]",[2051],188.0
1143,7782,14,1,2023-04-01T01:30:29.596000+00:00,38.55,19.922,,263.0,295.0,True,472.688,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2064, 2064]",203.0
1143,7782,55,1,2023-04-01T01:30:47.892000+00:00,39.496,19.811,39.058,249.0,279.0,True,98.365,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",175.0
1143,7782,27,1,2023-04-01T01:30:51.001000+00:00,40.087,19.693,37.503,240.0,272.0,True,97.283,"[2064, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]",212.0
1143,7782,16,1,2023-04-01T01:31:01.251000+00:00,42.209,21.563,42.75,240.0,253.0,True,106.522,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",201.0
1143,7782,20,1,2023-04-01T01:31:12.829000+00:00,38.732,19.557,40.834,249.0,291.0,True,99.123,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2049, 2049, 2049, 2049, 2051, 2051]",206.0
1143,7782,1,1,2023-04-01T01:31:30.626000+00:00,52.498,20.406,37.265,247.0,278.0,True,110.169,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",211.0
1143,7782,55,2,2023-04-01T01:32:24.359000+00:00,31.88,19.301,42.157,258.0,290.0,False,93.338,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049]","[2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",313.0
1143,7782,27,2,2023-04-01T01:32:26.453000+00:00,28.616,18.712,35.201,275.0,307.0,False,82.529,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2051, 2051, 2051, 2051, 2051]",309.0
1143,7782,16,2,2023-04-01T01:32:45.906000+00:00,37.612,20.333,39.219,251.0,271.0,False,97.164,"[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",279.0
1143,7782,20,2,2023-04-01T01:32:50.093000+00:00,28.042,18.343,34.55,279.0,309.0,False,80.935,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2051, 2051, 2049]",313.0
1143,7782,77,1,2023-04-01T01:32:53.968000+00:00,38.109,19.649,40.057,245.0,284.0,True,97.815,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",195.0
1143,7782,24,1,2023-04-01T01:33:16.843000+00:00,39.629,19.858,39.441,246.0,283.0,True,98.928,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",192.0
1143,7782,1,2,2023-04-01T01:33:17.499000+00:00,27.572,18.005,34.087,280.0,315.0,False,79.664,"[2051, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2049, 2049]",322.0
1143,7782,27,3,2023-04-01T01:33:48.904000+00:00,28.01,18.669,34.683,268.0,306.0,False,81.362,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",308.0
1143,7782,55,3,2023-04-01T01:33:57.607000+00:00,27.471,17.92,33.67,282.0,313.0,False,79.061,"[None, 2049, 2051, 2051, 2051, 2049, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2049]","[2049, 2051, 2051, 2051, 2051, 2051, 2049]",318.0
1143,7782,20,3,2023-04-01T01:34:10.935000+00:00,39.001,26.186,42.865,85.0,190.0,False,108.052,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",301.0
1143,7782,16,3,2023-04-01T01:34:22.998000+00:00,27.613,18.041,33.832,281.0,311.0,False,79.486,"[None, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2051, 2049]",318.0
1143,7782,77,2,2023-04-01T01:34:29.935000+00:00,28.124,18.352,34.587,275.0,307.0,False,81.063,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",308.0
1143,7782,1,3,2023-04-01T01:34:37.044000+00:00,39.552,26.88,38.346,233.0,248.0,False,104.778,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2051]",246.0
1143,7782,18,2,2023-04-01T01:34:53.294000+00:00,36.253,18.795,38.216,269.0,303.0,True,93.264,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2048, 2048, 2049, 2049]",208.0
1143,7782,24,2,2023-04-01T01:34:53.919000+00:00,28.371,18.598,34.956,274.0,305.0,False,81.925,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",308.0
