position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,1,24,False,False,False,77.565,0.0,1143,7782
2,14,26,False,False,False,77.727,0.162,1143,7782
3,31,23,False,False,False,77.938,0.373,1143,7782
4,63,23,False,False,False,77.955,0.39,1143,7782
5,10,23,False,False,False,78.094,0.529,1143,7782
6,11,18,False,False,False,78.123,0.558,1143,7782
7,55,29,False,False,False,78.127,0.562,1143,7782
8,44,25,False,False,False,78.138,0.573,1143,7782
9,18,22,False,False,False,78.198,0.633,1143,7782
10,24,20,False,False,False,78.33,0.765,1143,7782
11,27,24,False,False,False,78.41,0.845,1143,7782
12,23,21,False,False,False,78.553,0.988,1143,7782
13,16,28,False,False,False,78.691,1.126,1143,7782
14,81,21,False,False,False,78.713,1.148,1143,7782
15,77,24,False,False,False,78.809,1.244,1143,7782
16,22,22,False,False,False,78.901,1.336,1143,7782
17,2,20,False,False,False,78.947,1.382,1143,7782
18,20,26,False,False,False,79.056,1.491,1143,7782
19,21,23,False,False,False,79.092,1.527,1143,7782
20,4,12,False,False,False,79.146,1.581,1143,7782
